Wavelength (nm),Blank1,F503,F502,F510,F511,F506,F507,F518,F519,F514,F515,F521,F520,F517,F516
800,-0.004206,-0.002126,0.001231,-0.002013,-0.003046,0.002298,-0.000345,-0.00215,-0.002404,0.001036,0.001979,0.001635,-0.000454,-0.000704,-0.000093
799.5,-0.002962,-0.002799,-0.002598,0.000816,0.000298,0.003456,0.001281,0.00242,-0.000475,0.003163,0.003991,0.00033,0.005023,0.000122,0.001535
799,0.003372,-0.000656,-0.00016,-0.002813,0.001669,0.000296,-0.002468,0.000009,0.000654,0.001707,0.002559,0.002463,0.00063,-0.002379,-0.003269
798.5,-0.000137,0.000881,-0.004903,-0.001474,0.00263,-0.00158,-0.000153,-0.000076,-0.001998,0.003498,0.001276,-0.002546,-0.001819,-0.001578,0.002113
798,-0.001466,-0.000864,0.000729,0.001997,0.005139,0.001287,-0.00315,0.0005,0.001801,-0.000262,-0.003099,0.001065,0.002448,-0.000794,0.000615
797.5,0.002218,0.003508,-0.002749,-0.002845,-0.001764,0.006083,0.001736,0.000531,0.002801,-0.001585,-0.000852,-0.002028,-0.004544,-0.001041,-0.001205
797,0.000856,-0.000592,0.000654,-0.000867,0.001482,0.001314,-0.003481,-0.004899,-0.004978,0.001479,-0.000331,0.000023,-0.002318,-0.000106,0.001473
796.5,0.000387,0.000661,0.002564,-0.001001,0.003431,-0.000632,-0.000845,0.001673,0.000763,0.00147,0.003347,-0.002935,-0.000012,-0.002638,-0.000054
796,0.000055,-0.001518,-0.002446,-0.00032,0.003793,0.002415,-0.000281,0.002218,-0.000282,-0.001523,-0.000612,0.000711,-0.001024,-0.00291,-0.001029
795.5,-0.000918,0.002534,0.002483,-0.002682,0.00047,0.0015,-0.000748,-0.00148,-0.001947,-0.001704,-0.002071,0.000588,0.002379,-0.002263,0.000061
795,-0.001852,-0.000071,0.003704,0.001277,0.005826,0.00328,-0.000109,0.001982,-0.001166,-0.003262,-0.001538,-0.000649,0.00127,-0.003207,-0.001146
794.5,-0.002327,-0.000447,-0.001134,-0.001349,-0.000452,0.00204,-0.002539,0.001915,-0.0008,-0.00136,-0.000919,-0.000597,-0.002145,-0.000566,0.000279
794,-0.003255,-0.002606,-0.000731,0.000558,0.000376,0.003759,-0.000225,-0.000088,0.000054,0.000236,-0.001251,-0.001139,0.000814,0.00005,0.000233
793.5,-0.002402,0.00099,-0.000481,-0.001511,-0.000759,0.004381,-0.001788,0.000339,-0.001128,-0.001231,-0.000335,-0.002125,-0.003104,0.000262,-0.002059
793,-0.003659,-0.001492,0.000966,-0.001281,0.002224,0.005563,0.000876,-0.001634,-0.003013,-0.000501,0.000138,-0.003339,-0.005581,-0.003934,-0.001454
792.5,-0.002645,-0.001883,-0.001394,0.000895,0.001567,0.00271,0.001387,0.000322,-0.000371,0.001205,0.002027,0.002026,0.001005,0.006129,0.00363
792,0.005205,0.001963,0.000653,0.000846,0.005713,0.001977,-0.001578,0.000423,0.001981,-0.000579,-0.002171,-0.001053,0.000482,0.000629,0.001332
791.5,0.001422,0.002432,-0.002603,-0.005038,0.000149,0.002249,-0.00193,0.002087,0.001278,-0.002097,-0.002106,0.000091,0.000096,-0.003172,-0.000442
791,-0.000466,0.002842,0.001555,-0.003987,-0.001222,0.003413,0.00137,0.005239,0.003011,-0.001654,-0.003115,-0.000011,0.000711,0.00112,0.003019
790.5,-0.000004,0.001992,0.001022,-0.001493,0.003401,0.002968,0.000657,0.001638,-0.000174,0.000564,-0.00053,0.001926,0.001669,0.000589,0.001265
790,-0.000148,-0.000181,-0.000287,-0.000335,0.003829,0.004001,0.000805,0.000733,0.000035,-0.002444,0.001916,-0.000756,-0.001773,-0.004925,0.00153
789.5,-0.001307,-0.000215,-0.004984,0.000468,0.003435,0.004629,-0.000326,-0.001928,-0.00011,0.002095,0.001593,0.001797,0.002733,-0.001973,-0.000615
789,-0.002052,-0.000314,-0.001144,0,-0.000738,0.002099,-0.00032,-0.004067,-0.001088,0.000531,-0.002381,0.002066,0.000186,-0.000129,0.00003
788.5,0.000878,0.000408,-0.00148,-0.000158,-0.000634,0.002579,-0.00095,0.001617,-0.000633,0.000084,0.003095,-0.003358,-0.00092,0.001522,0.001103
788,0.002243,0.002148,-0.001733,0.000517,0.004331,0.005208,0.00099,-0.000637,0.001884,-0.000698,0.001368,0.000997,-0.000843,-0.001719,0.000724
787.5,-0.001235,-0.003297,-0.002958,-0.000611,0.001616,0.003525,-0.000993,0.000131,-0.001334,0.003229,0.001583,-0.00033,-0.000401,0.001892,0.002679
787,0.001152,-0.000994,-0.001166,-0.00084,-0.000595,0.002627,-0.002261,0.000348,-0.003107,0.000181,-0.004132,0.00296,0.000971,-0.005343,0.00055
786.5,-0.001739,-0.001098,-0.000006,0.000679,0.003197,-0.000546,-0.001782,-0.000028,0.000972,0.003956,0.003987,-0.001813,-0.001039,0.001783,-0.000084
786,-0.005699,-0.002248,-0.000839,-0.00169,0.001685,0.000199,0.001125,0.001262,-0.001463,0.001223,-0.000622,0.001466,0.002163,0.000785,-0.001003
785.5,0.000347,0.001494,-0.001358,-0.002831,0.001433,0.005476,0.006907,-0.002583,0.001189,-0.00166,0.00549,-0.000465,0.003166,0.001352,0.001299
785,-0.001225,-0.001222,0.001434,0.000004,0.004939,0.004544,0.00215,-0.004222,-0.001032,-0.000329,0.002375,-0.000322,-0.002541,0.001918,0.003992
784.5,-0.001743,-0.000658,-0.003096,0.00027,0.00289,0.003888,0.00097,-0.0007,-0.00026,-0.000695,0.001696,0.003574,-0.00079,0.002668,0.001603
784,0.001804,0.002757,-0.001227,-0.002888,-0.001412,0.00119,-0.002289,0.003718,-0.000258,0.001416,0.001997,0.001579,0.002769,0.003218,0.004691
783.5,-0.000883,0.000253,0.000505,-0.001226,0.002241,0.003594,-0.000515,0.000426,0.001947,-0.002856,-0.000482,0.001364,0.003458,0.00094,0.002654
783,-0.000509,-0.0012,0.0006,-0.00355,0.000074,0.00327,-0.002823,-0.001263,-0.000406,-0.002435,-0.001053,0.000112,-0.000144,-0.002952,0.000125
782.5,-0.000493,-0.000413,-0.004268,-0.002905,0.001745,-0.000127,-0.000399,-0.001726,0.000674,0.000058,-0.002901,0.000139,-0.001569,-0.000894,0.001581
782,-0.001139,-0.001223,0.002899,0.000725,0.00307,0.005415,0.001496,0.00017,-0.002038,0.000671,0.00062,0.003275,0.000817,-0.000736,0.000476
781.5,0.003915,0.001276,0.002055,-0.000747,0.002075,0.005211,0.001041,0.000614,0.000008,0.00098,0.00136,-0.001184,-0.002364,-0.001621,-0.001272
781,-0.002517,-0.001014,-0.000259,-0.002013,0.000093,0.002876,-0.002479,0.001039,0.001556,0.00045,0.003055,0.002068,0.003057,0.002198,0.000616
780.5,-0.002621,-0.001137,-0.001216,-0.002097,0.002633,-0.001468,-0.005318,-0.002744,0.001318,-0.001116,-0.001467,-0.00385,-0.004396,0.001542,0.006014
780,0.001064,0.001462,0.00084,-0.002794,-0.001488,0.004196,-0.000281,-0.000836,-0.000445,0.003215,0.000323,0.001474,0.00175,-0.003737,-0.000451
779.5,0.001723,-0.001839,-0.002254,-0.00043,0.005839,0.004847,-0.001059,0.000832,-0.000851,0.000115,-0.002832,0.000114,0.000015,0.001329,-0.002896
779,-0.002997,0.000032,0.000492,-0.002314,-0.0028,0.004021,-0.001161,-0.000369,-0.001042,-0.000533,0.00053,0.001398,0.001235,0.000946,0.00068
778.5,-0.004021,0.001923,-0.003305,-0.001334,0.003182,0.002929,-0.000748,0.001281,0.00076,0.001537,0.002062,0.001997,0.000334,0.000722,-0.000396
778,0.004394,0.003043,-0.002081,-0.001839,0.00185,0.001826,-0.001637,-0.002216,-0.004472,0.001977,-0.000818,-0.001532,-0.001275,0.000162,0.000076
777.5,-0.000167,-0.000474,-0.000596,-0.001684,0.001189,0.003643,0.000996,0.001333,-0.00059,0.002317,0.003744,0.00025,-0.000156,-0.00216,0.00119
777,-0.000945,-0.00424,-0.000758,0.004241,0.00343,0.003973,-0.000056,-0.001592,-0.000393,-0.001384,0.002058,-0.00089,0.000196,0.001181,-0.000153
776.5,0.000751,-0.000347,-0.002158,-0.004244,-0.001562,0.005438,0.003693,0.00053,0.001341,-0.002374,-0.000193,0.002431,-0.001178,-0.001628,-0.000844
776,0.002919,0.001845,0.000519,-0.002677,0.001738,0.001357,-0.00208,0.000796,0.001332,-0.00093,-0.00261,0.003178,-0.000604,0.00234,0.002428
775.5,-0.00428,-0.001648,-0.003911,-0.000209,0.00461,0.001757,-0.000378,0.001171,-0.00085,0.003044,0.001958,0.001089,0.001133,0.000919,0.006101
775,0.000124,0.000702,-0.00416,0.000717,0.004783,0.006609,-0.000196,0.000142,0.002364,-0.000541,-0.002776,0.002291,-0.001195,0.000129,0.00236
774.5,-0.003175,-0.002013,-0.000432,-0.001255,0.004251,0.003635,0.000099,-0.000428,0.000042,-0.000136,-0.000993,0.000837,-0.001547,0.002918,0.002643
774,-0.00607,0.002386,-0.000894,0.001879,0.002421,0.002721,-0.001399,-0.000501,0.000818,-0.002067,-0.003338,-0.0015,0.00165,0.001143,-0.000212
773.5,0.001276,0.00206,-0.00027,0.000749,0.001006,0.004464,0.002807,0.001057,0.00122,-0.000487,-0.000218,0.003266,0.002009,0.000432,0.003801
773,-0.000453,0.000614,0.000715,0.000965,0.003219,0.001698,-0.000195,0.001399,-0.003155,-0.000575,0.00126,-0.000907,-0.000021,-0.003676,-0.002178
772.5,0.003261,-0.001962,0.000934,0.003993,0.005966,0.004114,0.000386,-0.000355,0.000614,-0.002117,-0.004596,-0.001369,0.000749,-0.002099,0.001768
772,-0.002217,-0.002343,0.0013,-0.001135,0.000998,0.002138,-0.001605,-0.00164,-0.000319,-0.000426,-0.000861,-0.000397,0.000773,0.00138,0.003698
771.5,0.000539,0.001545,0.004109,0.001718,0.002659,0.001662,0.000207,-0.000613,0.001338,-0.002723,-0.000317,-0.000802,-0.00099,-0.004004,-0.002206
771,-0.000958,-0.001328,0.001421,-0.001869,0.00358,0.008597,0.00375,-0.002791,-0.000842,0.000529,0.001492,0.001212,0.000946,-0.001084,0.000197
770.5,-0.00181,-0.004512,-0.001143,0.000884,0.000056,0.002348,-0.002466,0.002075,0.003472,0.003201,0.000723,0.000008,-0.002239,0.003076,0.003357
770,0.000575,0.002242,-0.001737,-0.002368,0.002529,0.004498,0.001398,0.001953,0.000721,0.000651,-0.001252,0.003292,0.00055,0.00207,0.004106
769.5,-0.000618,0.000277,0.001049,-0.002362,0.003837,0.001595,-0.001786,-0.000341,-0.003598,0.001452,0.001993,0.001565,0.001571,-0.002101,0.000374
769,-0.000147,-0.003157,-0.003649,-0.000853,0.002151,0.003648,0.002205,0.001154,-0.001201,-0.000644,0.000961,0.000888,0.000317,-0.001953,0.000066
768.5,-0.002566,-0.002283,-0.001101,-0.001653,0.000488,0.002979,-0.001947,0.000582,-0.002225,-0.002158,0.000045,-0.000001,-0.002542,-0.00131,0.001504
768,0.000524,-0.003138,0.002482,0.000987,0.004312,0.003621,-0.001379,-0.001352,-0.000162,0.000706,-0.002597,-0.00122,0.00056,0.001528,0.001101
767.5,-0.00227,-0.000451,-0.000072,-0.002813,0.003702,0.0037,-0.002432,0.001342,0.000421,-0.001493,-0.001878,0.000827,0.000957,0.001261,0.003788
767,0.001743,-0.000196,-0.002292,-0.000376,0.000607,0.003509,-0.001028,0.000099,-0.000356,-0.000959,-0.00044,-0.001725,-0.002141,0.001653,0.001325
766.5,0.002053,0.003209,-0.002906,-0.000753,0.000165,0.001954,-0.001378,-0.000595,-0.001536,0.002443,0.001232,0.000889,0.003009,0.002492,0.001091
766,0.000556,0.000417,-0.001466,0.003165,0.005466,0.003109,-0.000295,0.003568,0.003161,0.001131,0.0011,-0.001845,-0.00125,-0.00159,-0.001381
765.5,-0.00006,0.001313,-0.00302,0.000001,0.002434,0.00346,0.001502,0.00122,0.00083,0.000525,-0.001761,-0.002002,-0.001659,0.001247,0.00082
765,-0.001614,0.002827,-0.001937,-0.000386,0.001428,0.004124,0.001931,0.002758,-0.001084,-0.000263,0.001297,0.000239,0.000976,-0.000943,-0.000071
764.5,-0.000938,-0.002156,0.000411,0.000551,0.001979,0.005504,0.001658,-0.000003,-0.001312,-0.000205,-0.000848,-0.000588,-0.000877,-0.001417,-0.000316
764,0.000649,-0.001841,-0.001308,-0.001997,0.001313,0.001863,-0.002531,-0.000588,-0.001189,0.002983,0.000274,0.001312,0.00006,-0.000711,-0.000123
