Wavelength (nm),Blank1,F532,F533,F526,F527,F538,F539,F534,F535,F540,F541,F528,F529,F610,F611,F536,F537,F554,F555,F556,F557
800,0.000874,-0.000265,-0.004676,-0.001352,-0.001122,0.002194,-0.000447,-0.001107,-0.000815,-0.00081,0.00156,0.000638,0.005313,0.001037,0.002519,0.001669,-0.00059,-0.003886,0.001064,0.001975,0.030821
799.5,0.004655,0.003195,-0.004037,-0.002061,-0.002761,0.001456,0.004197,-0.002909,-0.00051,-0.001176,0.003093,0.001479,0.002781,-0.007323,-0.00431,-0.001178,-0.003477,0.001712,0.000012,-0.000622,0.025331
799,-0.003392,-0.004092,-0.009823,-0.000193,0.000174,0.001584,-0.001219,0.00284,0.001957,-0.003638,-0.003068,-0.004685,-0.000308,-0.000371,-0.001764,0.001627,0.002974,-0.004231,0.000203,-0.001897,0.025297
798.5,-0.002146,-0.003247,-0.007136,0.000837,0.001255,-0.001238,-0.001452,-0.000485,-0.001262,-0.004469,-0.005046,-0.000837,0.003887,0.000833,-0.001262,0.000718,0.00009,-0.003282,0.001228,0.005282,0.026726
798,-0.000396,-0.003023,-0.007716,-0.001372,0.00172,-0.001816,0.000562,0.001156,-0.000464,-0.002178,0.00036,0.001487,0.007252,-0.001668,-0.003104,-0.002511,-0.000372,-0.00254,-0.000118,0.001275,0.031258
797.5,-0.003178,-0.000896,-0.004913,0.000156,-0.000057,0.003087,-0.001662,-0.000441,-0.003822,-0.002895,-0.002328,-0.000293,0.004106,-0.003539,-0.002441,-0.000356,-0.002288,-0.004122,-0.005319,-0.00125,0.025864
797,0.004483,0.003149,-0.001591,0.002916,0.004228,-0.00123,-0.00019,-0.002254,-0.002059,0.00049,0.002009,-0.00317,0.002914,0.003346,0.001281,0.00258,0.001117,-0.004752,-0.001805,-0.00162,0.023453
796.5,0.000403,-0.001493,-0.00356,-0.002188,0.000411,-0.00013,0.00201,-0.000347,0.000903,-0.00014,0.001623,0.003684,0.003121,0.000543,0.000762,0.003231,0.001736,-0.002149,0.000216,-0.000753,0.027531
796,0.000626,0.001205,-0.003363,-0.000658,-0.001097,-0.000731,-0.001349,0.002127,0.002978,-0.001451,-0.002838,0.000922,0.003539,0.002517,0.001765,0.000832,-0.001504,-0.000337,-0.001075,-0.003853,0.024712
795.5,-0.00213,-0.002115,-0.007189,0.002156,0.003103,0.000756,-0.000693,0.002095,0.00242,-0.004996,0.000201,-0.001293,0.000529,-0.00024,-0.003945,0.001081,0.00023,-0.005033,-0.002884,0.002788,0.0295
795,0.005363,0.002371,-0.002705,0.001048,-0.001103,-0.001675,-0.003512,0.002403,-0.000891,-0.001064,-0.001013,-0.003706,0.003242,0.002274,0.001889,0.003684,0.000335,-0.002206,-0.001602,0.003494,0.02703
794.5,0.000228,0.000146,-0.004246,0.002618,0.004022,0.001558,-0.000622,-0.001889,0.002299,-0.006104,-0.005501,0.005618,0.007142,-0.001012,-0.002855,0.002729,-0.001373,-0.004215,0.00055,-0.000477,0.029861
