TITLE,Blank2
DATA TYPE,FLUORESCENCE SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,2024/10/29
TIME,10:53:00
SPECTROMETER/DATA SYSTEM,JASCO Corp., FP-8350, Rev. 1.00
DELTAX,2
XUNITS,NANOMETERS
YUNITS,INTENSITY
FIRSTX,  300.0000
LASTX,  560.0000
NPOINTS,     131
FIRSTY,    32.99582
MAXY,    44.80462
MINY,     0.00000
XYDATA
,240,242,244,246,248,250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450
300,32.9958,31.7457,28.2598,35.2764,39.5624,28.4247,21.1699,31.9588,27.0499,27.1718,55.6795,105.174,328.706,1312.76,3518.25,5778.41,5908.45,3740.4,1474.08,433.945,170.309,156.015,166.941,177.307,185.296,257.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,33.5536,32.7609,20.3508,31.7412,32.6535,45.8878,26.2932,35.9036,21.4954,25.0037,42.1638,52.3405,131.9,479.305,1743.32,4032.91,5955.03,5358.96,3091.43,1114.52,311.852,158.492,150.872,170.98,159.608,186.707,243.104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,37.0356,43.4007,20.2584,24.3459,32.7706,50.9731,31.0114,27.9528,16.4211,25.7043,32.3898,37.9592,66.3286,153.961,616.775,2047.07,4504.07,5934.77,4943.59,2530.18,896.161,256.086,139.174,152.369,145.995,156.942,169.55,217.512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,44.791,48.3983,24.4024,26.4979,30.104,42.7138,32.9767,35.4845,22.1833,27.949,33.7729,29.6635,45.2241,74.5977,213.129,773.286,2434.87,4778.94,5774.44,4374.16,2173.74,725.524,209.646,130.087,139.874,139.062,147.871,160.905,222.202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,44.8046,39.1163,25.2236,25.9671,23.6097,38.3266,35.7391,42.3507,36.5674,29.9798,28.3064,22.5881,33.1046,38.7406,98.2658,259.811,993.262,2857.88,5042.76,5500.23,3896.5,1816.89,543.582,171.344,129.779,129.807,140.461,146.043,157.002,219.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,31.4394,36.0658,28.382,21.0761,24.0641,28.5363,30.7473,37.8303,38.453,33.462,21.4741,20.8618,23.0705,28.9305,58.3358,105.929,319.809,1204.99,3199.7,5082.26,5213,3463.2,1470.1,465.706,157.321,116.968,124.572,136.988,135.21,162.564,219.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,30.5568,37.4991,30.6548,25.4909,25.7475,24.5258,28.9054,32.9743,28.944,37.9068,20.8993,20.7187,16.1898,25.3872,36.4299,54.1664,124.719,414.015,1498.17,3466.43,5141,4820.07,2915.29,1220.11,350.517,137.867,110.287,123.157,125.594,137.418,150.615,207.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,21.8966,44.3122,23.5859,26.2001,25.0305,17.5861,22.2854,26.8219,26.2863,34.4603,25.2464,23.3202,15.3016,20.9558,24.744,36.8263,67.6017,150.59,542.837,1757.03,3739.17,5065.77,4309.43,2525.54,920.236,279.315,115.782,106.727,113.015,125.406,122.163,145.937,192.969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,22.0651,41.8913,24.8909,28.7606,20.6549,16.7862,19.878,26.0275,23.9565,30.9853,33.7261,23.2963,20.8,18.4903,20.733,30.8964,39.4182,78.74,172.51,661.948,2020.18,3970.78,4793.42,3890.08,2016.8,716.56,205.982,108.225,98.9897,113.745,113.044,119.47,137.639,183.189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
