TITLE,F611
DATA TYPE,FLUORESCENCE SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,2024/10/29
TIME,15:42:33
SPECTROMETER/DATA SYSTEM,JASCO Corp., FP-8350, Rev. 1.00
DELTAX,2
XUNITS,NANOMETERS
YUNITS,INTENSITY
FIRSTX,  300.0000
LASTX,  560.0000
NPOINTS,     131
FIRSTY,   335.13113
MAXY,   609.28357
MINY,     0.00000
XYDATA
,240,242,244,246,248,250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450
300,335.131,316.691,337.536,352.808,360.998,410.323,446.758,486.901,571.57,662.146,778.119,933.487,1210.72,2302.64,4644.92,6892.96,6760.45,4495.99,2191.74,1008.76,597.159,445.268,374.527,333.492,327.231,353.511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,344.734,365.835,365.443,383.332,386.38,442.541,467.335,532.889,603.989,668.299,786.9,885.758,1038.29,1470.15,2805.43,5195.5,6979.27,6188.28,3726.12,1694.3,752.359,450.698,374.879,324.995,314.943,279.228,339.136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,358.102,411.946,383.837,406.259,406.4,486.725,480.293,550.735,638.902,676.466,771.622,877.32,978.833,1120.6,1615.93,3136.74,5570.6,6866.09,5629.15,3121.72,1304.54,569.674,382.792,319.91,307.132,262.636,269.464,305.644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,388.985,417.765,406.924,421.412,449.118,527.943,506.559,578.74,644.984,669.104,765.754,854.367,925.89,1045.26,1209.5,1782.15,3452.92,5754.29,6557.77,4963.56,2603.51,1078.43,464.799,335.497,299.707,264.367,251.295,250.263,305.589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,433.833,413.629,419.673,426.47,493.757,516.85,553.65,605.402,636.064,685.067,757.738,828.697,877.835,987.692,1077.65,1230.84,1944.33,3795.47,5886.96,6143.9,4357.47,2150.04,816.016,412.716,305.527,270.558,250.125,228.482,238.187,292.696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,464.757,424.146,447.69,451.403,499.535,499.422,582.018,616.221,626.651,673.518,741.663,817.503,876.239,942.436,1021.64,1031.18,1228.99,2089.85,4032.54,5833.39,5684.09,3800.9,1729.37,697.764,361.433,278.439,251.046,240.858,226.076,224.722,293.566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,474.164,427.753,453.218,469.33,480.213,502.172,576.62,610.657,642.385,677.002,728.052,811.351,861.589,924.216,950.68,939.032,1029.78,1249.28,2279.01,4244.65,5703.3,5201.99,3189.94,1430.61,564.4,311.198,257.012,250.415,220.113,216.847,223.995,276.729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,485.233,466.463,464.346,462.147,496.222,513.162,563.095,600.511,625.957,674.506,726.483,776.436,818.747,884.452,915.425,899.302,950.135,952.345,1294.52,2407.05,4320.18,5492.05,4663.52,2722.64,1137.33,453.207,276.257,248.66,222.066,215.909,205.229,210.255,268.373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,497.834,484.689,499.036,505.618,528.848,514.646,561.008,605.406,639.956,682.123,705.835,747.154,771.044,825.979,894.651,868.281,871.804,844.405,909.44,1275.81,2560.16,4425.17,5238.53,4131.13,2211.09,889.902,376.304,258.492,225.403,214.098,201.705,184.597,194.777,253.561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
