Wavelength (nm),Blank1,F542,F543,F546,F547,F560,F561,F552,F553,F558,F559,F572,F573,F574,F575,F580,F581,F599,F597
800,-0.000466,-0.00126,0.003017,0.002143,0.00153,-0.002136,-0.003008,-0.001356,-0.002718,0.001339,-0.001275,0.000037,0.002244,-0.002453,-0.000584,-0.001255,-0.000716,-0.001177,0.000497
799.5,0.001344,0.000181,-0.001799,-0.000159,-0.001672,0.000953,0.002342,-0.003408,-0.006164,-0.00381,-0.001149,0.002061,-0.000757,-0.002844,0.001337,-0.000858,0.000921,-0.002132,0.00173
799,-0.002514,0.000052,-0.003285,0.000929,-0.003779,-0.002861,-0.002738,0.003714,0.002682,0.001285,0.004144,0.002222,-0.000039,0.001963,0.000389,-0.001199,-0.00189,0.001642,-0.00095
798.5,0.000501,-0.001105,-0.001356,0.001877,0.005366,0.000792,-0.001273,-0.005944,-0.002441,0.003797,0.005427,0.00334,0.002639,0.001774,-0.000631,-0.000801,0.002928,0.003474,0.003042
798,-0.000131,-0.000356,0.001225,0.002291,0.000665,-0.003381,-0.001218,0.00048,-0.000563,-0.000315,-0.001396,0.004917,0.000129,0.001373,-0.001291,0.00259,0.001021,-0.001927,0.00179
797.5,-0.002186,-0.001485,-0.003508,-0.002248,-0.000702,0.000847,0.000901,0.000627,-0.000448,-0.000141,0.003048,0.002521,0.001674,-0.003225,0.00004,-0.000828,-0.002663,0.000196,0.0008
797,0.000784,0.000538,-0.001084,-0.001103,-0.001294,0.003544,-0.000065,0.000743,0.002158,0.000078,0.00184,0.004577,0.000072,0.00262,0.006258,0.002103,-0.00218,-0.000763,0.001251
796.5,0.001794,0.000008,-0.001713,-0.000296,0.000716,0.002289,0.004102,0.000666,0.000938,-0.002444,-0.002869,0.004211,0.005572,-0.000255,-0.000404,-0.003216,-0.00085,0.002443,0.00216
796,-0.000954,-0.002728,0.000755,0.002872,0.004613,0.003307,0.001862,0.001538,-0.001704,-0.002713,-0.001519,0.002748,0.002917,-0.005066,-0.002433,0.003055,0.002385,0.002246,-0.000612
795.5,-0.001271,0.002023,-0.002831,-0.001717,-0.001718,0.004062,0.002012,-0.001497,0.001035,0.001525,0.001523,-0.002423,-0.003018,-0.00503,-0.002453,0.002205,0.000778,-0.003624,0.000537
795,0.000357,0.003623,0.004586,0.001051,-0.00074,-0.000001,-0.001927,0.001173,-0.003107,-0.000976,-0.000276,0.004988,-0.003401,-0.000895,0.001244,-0.001179,0.000373,0.000081,-0.001896
794.5,0.001024,0.003028,0.002997,0.001055,0.000109,0.00315,0.001968,-0.000735,-0.003623,-0.00247,0.000777,0.002429,-0.000485,0.002131,0.002171,0.000901,-0.002384,0.004336,-0.000529
794,-0.00068,-0.000308,-0.002368,0.001096,0.001571,0.001558,-0.003602,-0.001419,-0.003494,-0.000882,-0.000626,-0.000555,0.001936,0.002193,-0.001833,-0.000055,0.000976,0.005159,0.00007
793.5,0.001271,0.003514,0.000126,0.001864,0.003178,0.000013,0.000356,-0.001447,-0.00535,-0.001321,0.002991,0.000493,0.000548,0.000322,0.002925,0.001724,0.000057,0.000263,0.002468
793,-0.003172,-0.001859,-0.003268,-0.000634,0.003336,0.001178,0.000494,-0.005907,-0.001513,-0.001973,0.000451,0.003331,-0.000112,0.001118,0.000253,-0.001501,-0.002377,0.00009,-0.001138
792.5,-0.004238,-0.002249,-0.004251,0.000486,-0.000967,-0.002599,0.000003,-0.002236,-0.003116,0.003132,0.002267,0.003098,0.001365,-0.002634,-0.00056,0.000738,0.001069,0.001422,0.001589
792,-0.002573,-0.000404,-0.003264,0.004979,0.004433,-0.005486,-0.003108,0.002611,-0.000714,0.000002,0.000778,0.001805,0.004682,0.000536,-0.001522,-0.000039,-0.002407,0.005519,0.007005
791.5,0.003908,0.002085,-0.00127,-0.000412,0.003396,0.002243,0.000708,0.00028,-0.000364,0.003468,0.004361,0.002974,-0.000299,0.00314,0.003338,0.003614,0.007133,-0.001794,-0.000331
791,-0.001421,0.000913,0.001709,-0.002357,-0.00371,0.00198,-0.001116,0.001652,-0.000584,-0.001361,0.000397,-0.003317,-0.002803,0.000146,-0.002343,-0.000117,0.000714,-0.001413,0.000942
790.5,0.002746,0.001173,-0.000028,0.00228,-0.000752,0.002553,-0.000912,-0.003132,0.001164,-0.001701,-0.001585,-0.001748,0.001,-0.000209,0.005213,0.000765,-0.000404,0.001935,-0.000969
790,0.000726,0.002793,0.001011,-0.00077,0.000764,-0.001722,-0.003091,0.003135,0.003334,-0.003368,-0.004135,0.000025,-0.003605,-0.000387,-0.000527,0.003608,0.002322,0.003257,0.003208
789.5,0.002894,0.002621,0.001313,0.001422,0.002557,0.000204,-0.002881,-0.000234,-0.000952,0.001123,0.002194,0.004055,0.002293,0.000149,0.001429,0.007719,0.003724,0.000004,0.003123
789,-0.000732,-0.002374,0.00007,0.002507,0.00271,-0.002774,-0.000515,-0.002103,-0.002292,-0.002998,-0.004096,-0.000086,-0.001108,-0.000548,-0.000473,0.002111,0.002068,0.001795,0.003833
788.5,-0.002412,-0.000935,-0.001219,-0.000496,0.001353,0.000634,-0.000406,-0.002194,-0.000993,-0.002715,-0.002955,-0.001469,0.000048,-0.001226,-0.000388,0.004018,0.002936,0.001217,-0.001856
788,0.003614,0.002693,-0.000319,-0.000358,-0.00027,-0.002564,0.000312,-0.002474,-0.002902,-0.00218,-0.002739,0.000243,-0.001118,0.003081,0.002382,0.001393,0.000577,0.00071,0.00279
787.5,-0.000207,0.003858,0.002555,-0.002133,-0.000568,0.001801,0.00154,-0.002248,-0.00595,-0.000693,-0.000825,0.002001,-0.000648,-0.001932,0.000069,0.002055,0.001098,0.003569,0.00047
