Wavelength (nm),Blank1,F564,F565,F576,F577,F570,F571,F600,F568,F569,F582,F603,F603b
800,0.000276,0.000928,0.003659,0.001561,0.000357,0.00116,0.00317,0.001051,0.003097,0.001227,-0.00106,-0.003839,-0.000759
799.5,0.00221,0.004113,0.005708,0.001914,0.001217,-0.000627,-0.002889,0.001325,0.00069,-0.001336,-0.000107,-0.00049,-0.001423
799,0.001101,0.000233,-0.00063,0.00206,0.000238,-0.0004,-0.000606,0.001246,-0.00645,-0.004025,-0.001296,-0.002205,0.000169
798.5,0.00009,0.00539,0.002926,0.004072,0.000791,0.002361,0.0026,0.000221,0.001066,-0.000334,-0.000888,-0.000993,0.001149
798,0.000922,0.002465,0.001004,-0.001619,-0.001479,0.001843,0.001835,0.002429,-0.001416,-0.001306,0.002049,0.002199,0.002793
797.5,-0.000873,-0.00014,-0.00095,-0.001289,-0.001951,0.000631,0.000981,-0.002242,-0.001388,0.000649,0.002572,-0.001209,0.000154
797,0.002392,0.003052,0.005153,-0.001269,-0.001899,-0.001765,0.000583,0.00332,-0.000107,-0.003004,0.005727,0.00555,0.004907
796.5,0.000717,0.001209,-0.000462,0.001106,-0.000538,0.001813,0.001053,-0.002267,0.000422,0.000497,0.00577,0.003872,0.003085
796,0.001486,0.00158,0.001993,0.00018,-0.002321,-0.001576,0.000268,0.000429,-0.001535,-0.001554,-0.003001,-0.000285,-0.002525
795.5,0.000088,0.003616,0.001558,0.001115,0.000043,-0.001379,0.001256,0.00255,0.002152,-0.000781,0.006395,0.000496,0.002656
795,-0.001047,-0.00273,0.000477,0.002811,0.000311,0.003245,0.001876,0.000743,0.003607,0.000244,-0.002182,-0.002811,-0.002964
794.5,0.000681,-0.000046,0.002087,0.000381,-0.000762,-0.000972,0.001895,0.003569,-0.004223,-0.000971,0.001473,-0.002849,0.001963
794,-0.004866,-0.002492,-0.006009,0.005917,0.003601,-0.003412,-0.001161,0.003845,0.004138,0.001958,-0.002627,-0.00155,0.000512
793.5,-0.003977,-0.005511,-0.003397,-0.001328,-0.00319,-0.0009,0.00033,0.001094,-0.001882,-0.003753,0.002176,-0.0016,0.001199
793,-0.001945,-0.000763,0.000119,-0.000368,-0.000917,0.00264,0.004301,-0.000061,0.003701,0.002847,-0.000584,-0.000681,0.002443
792.5,-0.002168,-0.002282,-0.001157,0.00445,-0.000481,0.00303,0.003297,-0.001178,-0.003819,-0.001608,0.003471,0.002658,0.001875
