TITLE,F603b
DATA TYPE,FLUORESCENCE SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,2024/10/31
TIME,15:23:17
SPECTROMETER/DATA SYSTEM,JASCO Corp., FP-8350, Rev. 1.00
DELTAX,2
XUNITS,NANOMETERS
YUNITS,INTENSITY
FIRSTX,  300.0000
LASTX,  560.0000
NPOINTS,     131
FIRSTY,   322.74875
MAXY,   714.30487
MINY,     0.00000
XYDATA
,240,242,244,246,248,250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450
300,322.749,307.707,324.9,363.674,404.135,422.35,501.782,575.081,694.814,768.462,914.194,1105.49,1379.83,2372.62,4631.04,6843.39,7106,4961.17,2580.63,1250.29,721.845,501.976,416.517,340.04,318.899,344.442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,375.95,328.566,332.855,393.432,436.865,444.602,514.768,584.248,676.682,775.843,918.967,1058.46,1199.95,1618.37,2884.46,5140.89,7059.68,6523,4174.81,1996.65,909.06,512.46,405.285,342.007,311.285,278.458,322.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,385.827,360.123,359.633,423.896,451.233,470.271,526.727,599.609,686.638,809.065,887.976,1019.11,1128.74,1343.83,1815.55,3140,5512.3,6923.76,6011.47,3459.17,1535.37,640.877,404.432,343.8,313.954,273.751,252.511,300.276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,382.348,377.328,417.352,424.865,469.961,490.143,542.07,611.865,706.268,802.193,870.511,1001.66,1105.05,1236.52,1425.58,1898.07,3426.05,5662.82,6699.21,5287.75,2886.75,1190.64,519.391,353.388,309.619,278.821,236.645,246.777,287.619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,414.657,388.583,436.494,444.889,495.027,517.449,563.303,660.213,698.185,803.789,875.677,977.341,1075.43,1144.25,1266.21,1410.1,2006.47,3675.39,5796.97,6276.69,4603.5,2352.11,923.06,430.324,309.115,273.8,236.05,231.619,235.564,284.782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,397.278,409.188,452.851,473.949,493.648,511.12,584.692,638.777,680.362,763.624,862.853,938.044,1029.35,1057.7,1169.36,1220.99,1348.89,2083.81,3862.23,5684.32,5856.33,4064.23,1937.97,765.072,370.966,274.865,243.064,236.501,217.376,224.286,273.355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,421.725,460.834,460.329,466.785,491.319,494.408,582.596,629.708,655.448,763.096,828.496,911.453,988.236,988.307,1081.44,1128.6,1154.53,1343.38,2202.21,4026.48,5671.28,5341.72,3392.17,1585.95,613.343,310.988,253.453,232.406,217.994,206.873,209.348,251.512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,457.578,471.323,455.532,470.311,501.332,507.708,559.136,594.05,635.56,726.425,771.089,856.363,918.129,942.561,1005.41,1063.76,1065.41,1101.93,1302.07,2299.3,4144.09,5431.88,4738.51,2922.88,1257.38,482.539,282.33,233.461,212.949,205.481,192.892,196.307,242.465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,454.831,462.972,466.005,473.895,501.026,495.012,531.869,582.744,628.043,693.361,745.397,813.342,848.149,935.611,957.053,992.386,1002.72,986.788,957.24,1256.03,2378.7,4212.95,5142.69,4300.16,2382.52,975.3,390.69,255.938,215.571,199.942,190.413,181.94,186.981,234.683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,448.716,444.103,456.537,487.376,486.496,480.883,528.698,591.266,631.372,657.995,732.577,756.326,799.055,904.537,914.741,913.684,944.202,927.208,840.073,856.094,1222.25,2480.7,4215.94,4892.85,3762.52,1995.15,752.887,339.145,220.898,204.473,194.834,181.312,172.042,185.104,217.752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,459.322,420.871,446.485,486.834,492.616,492.944,522.88,565.422,618.76,635.658,696.211,724.249,780.561,844.606,867.351,893.694,876.654,885.537,801.329,744.891,757.997,1300.24,2636.84,4208.19,4524.85,3222.19,1539.86,628.277,264.469,209.838,187.134,175.339,164.327,156.518,161.18,208.638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,444.763,438.942,460.202,467.095,489.83,490.535,538.754,552.629,579.502,635.023,629.994,707.636,746.76,785.083,833.014,822.174,827.964,830.084,761.118,691.21,615.093,748.864,1381.06,2762.97,4131.21,4073.98,2675.61,1310.92,470.604,230.799,182.571,169.859,163.22,153.645,146.231,151.487,207.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,448.333,485.017,467.533,439.393,487.758,490.916,528.982,544.896,569.091,603.558,607.258,647.262,703.868,767.29,778.785,771.553,775.157,765.279,724.782,664.68,572.391,579.66,744.265,1473.75,2904.27,3977.25,3610.35,2361.04,953.989,366.505,209.946,176.745,166.033,162.356,147.779,142.351,156.325,183.561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,465.862,479.137,459.159,432.793,512.6,487.482,511.124,554.422,573.713,581.573,621.832,624.536,678.545,732.983,734.609,761.387,750.246,739.17,707.773,649.333,547.665,533.95,553.85,783.675,1624.28,2966.24,3741.01,3264.91,1794.9,763.838,303.708,190.991,170.64,164.13,152.339,141.084,138.732,142.859,180.923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,452.957,435.79,442.478,456.732,514.436,507.33,500.433,538.111,537.723,559.712,604.577,611.115,638.35,674.45,712.151,735.247,708.542,727.655,683.096,627.761,563.013,516.243,490.497,525.65,810.289,1683.62,2923.11,3480.09,2732.41,1524.89,615.037,272.623,180.754,171.522,153.852,146.381,139.154,132.18,145.838,171.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
